Video_File,Target_Class,Original_Action,Original_Action_En,Frame_In,Frame_Out,Duration_Frames
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,140675,141600,925
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],141675,142125,450
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,142525,143000,475
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",foul,Foul,foul,156200,156675,475
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,168900,169500,600
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Parade,save,168925,169475,550
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,169550,170075,525
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,173025,173250,225
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,186525,187200,675
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Parade,save,186550,187175,625
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,188825,189375,550
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],189675,190000,325
"SOK - PGM, International HD - 1. BL 2025-2026 1. Spieltag FC Bayern München vs. RB Leipzig-010.mp4",None,Torschuss / Torchance,shot at goal,190300,191125,825
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,20200,20650,450
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,25975,26650,675
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,38700,39300,600
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,42200,43325,1125
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,56550,57175,625
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,58900,59500,600
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,64725,65500,775
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,66050,66500,450
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,73550,74100,550
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",handball,Handspiel,handball,76575,76950,375
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,81200,81700,500
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,84425,85000,575
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,119450,120025,575
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,121150,122250,1100
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,136175,136650,475
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,140025,140825,800
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,144200,144825,625
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,146275,147075,800
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Torschuss / Torchance,shot at goal,147900,148425,525
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],149150,150025,875
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,158575,159175,600
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,177000,178275,1275
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,182250,182925,675
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Sport-Club Freiburg vs. VfB Stuttgart-011.mp4",foul,Foul,foul,188800,189850,1050
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],16025,16550,525
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,24650,25175,525
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,40400,41325,925
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,42350,43325,975
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,48475,49450,975
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,60575,61475,900
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],65500,66075,575
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,66325,67100,775
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,69950,70900,950
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,80325,81000,675
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,86375,87675,1300
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,118500,119200,700
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,122575,123075,500
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,127500,128100,600
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Abseits,offside,129925,130975,1050
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Abseits,offside,132375,133075,700
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,133400,134775,1375
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,137350,142475,5125
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,141750,142175,425
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,157425,158375,950
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],158875,159300,425
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,160750,161375,625
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,164400,165325,925
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,171575,172100,525
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,173325,174500,1175
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",None,Torschuss / Torchance,shot at goal,178625,179100,475
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,183575,184350,775
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,186025,187250,1225
"SOK - PGM, International HD - 1. BL 2025-2026 3. Spieltag Bayer 04 Leverkusen vs. Eintracht Frankfurt-007.mp4",foul,Foul,foul,191025,191850,825
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,15975,16300,325
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,20025,20450,425
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",handball,Handspiel,handball,22300,23150,850
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,35750,36375,625
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,42900,43350,450
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],51325,52050,725
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,58325,59725,1400
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],68425,69625,1200
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,72375,72600,225
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],72700,72925,225
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,73675,74100,425
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,74775,75225,450
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,113075,114200,1125
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,120550,121125,575
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,123200,124100,900
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,126800,127675,875
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,129725,131125,1400
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,133350,133650,300
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,134450,134925,475
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,139875,140450,575
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,140450,141125,675
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,141775,142275,500
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,146975,147325,350
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",handball,Handspiel,handball,153425,153850,425
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,155125,155400,275
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,162025,162650,625
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,163200,163625,425
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,166425,166850,425
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,174375,174850,475
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Torschuss / Torchance,shot at goal,175425,175975,550
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,177600,178025,425
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],178050,178400,350
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,183325,183875,550
"SOK - PGM, International HD - 1. BL 2025-2026 15. Spieltag Borussia Dortmund vs. Borussia Mönchengladbach-004.mp4",foul,Foul,foul,185150,185550,400
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,20325,21200,875
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,22375,22900,525
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Erfolgreiche Defensivaktion [Abgefangener Ball],defensive action [intercepted ball],35200,36075,875
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,43500,45100,1600
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Parade,save,43550,45125,1575
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,44225,44825,600
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Parade,save,46300,47825,1525
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,62900,63750,850
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,66000,66550,550
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,71525,72075,550
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,74250,75025,775
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,76075,76675,600
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,77075,77800,725
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,79875,80525,650
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,113450,114525,1075
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,117650,119000,1350
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Parade,save,117975,118900,925
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,118225,120300,2075
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,123775,124550,775
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,127450,128050,600
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],131800,132375,575
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,137275,137800,525
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,144525,145500,975
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,147225,148200,975
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",foul,Foul,foul,162550,163250,700
"SOK - PGM, International HD - 1. BL 2025-2026 31. Spieltag 1. FSV Mainz 05 vs. FC Bayern München-015.mp4",None,Torschuss / Torchance,shot at goal,189450,190075,625
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,27225,27700,475
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],28775,29725,950
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,34650,35000,350
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,34825,35350,525
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],35950,36900,950
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],40650,41400,750
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,62100,62750,650
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Parade,save,62175,62775,600
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,63000,64375,1375
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,67650,68450,800
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,68900,70000,1100
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],72600,73375,775
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,75550,76550,1000
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],75700,75825,125
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [hold],Foul [Halten],foul [hold],82125,83325,1200
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],83975,84825,850
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],111950,112750,800
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],113700,114650,950
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,115650,116625,975
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],117800,118825,1025
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],119875,120600,725
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",handball,Handspiel,handball,123650,124325,675
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",handball,Handspiel,handball,123650,124325,675
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,130325,131300,975
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,130325,131300,975
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,135875,137250,1375
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,135875,137250,1375
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],136475,136600,125
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Erfolgreiche Defensivaktion [Geblockter Schuss],defensive action [blocked shot],136475,136600,125
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,140175,140950,775
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,140175,140950,775
